State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9927242325792732	0.003541695364818161	6.712083834467328E-4	5.357738554388917E-5	0.0	2.409756884774344E-6	4.384186771914541E-6	5.592045558637109E-5	1.3245177986187986E-4	0.002645219651839509	0.0	0.0	0.0	8.791654916653885E-5	8.098390680686897E-5
2	0.047550768575174616	0.9467744270256938	0.004994801575982366	0.0	0.0	0.0	0.0	0.0	3.889115383543133E-5	6.411116693136225E-4	0.0	0.0	0.0	0.0	0.0
3	0.10927601482270712	0.060935044651557774	0.5854468145961433	0.14850935282413513	0.03483913194350756	0.0038280218460243947	8.218269034064217E-4	0.0	0.004338745621294996	0.00912209580487935	0.0017069893657381855	0.0035978325621066347	2.9615911441331427E-4	0.03728196994408581	0.0
4	0.01276097363844988	0.0	0.22173175095755818	0.6361148005999786	0.0703811668880608	0.010020899675464726	0.0189556930767926	5.458298861247189E-4	0.016547390292754868	0.0057220151423777905	0.0	1.9338677719004713E-6	0.0	0.007217545974665946	0.0
5	0.0	0.0	0.055812998780546894	0.07395956154001307	0.7515299394813834	0.10820323566879658	0.0	0.0	0.0	0.0	0.0010812048559556695	0.008782916831012027	0.0	6.301428422925776E-4	0.0
6	2.374516147746035E-4	0.0	0.005486371939690336	0.007517030894754545	0.07904067934429398	0.7340231496557755	0.018004714793155123	8.955293948750651E-4	0.0029240560952952036	6.713751006036338E-4	0.13452898517711967	0.011649309526030984	0.0029556054056698233	0.0016508468281042751	4.148942298571356E-4
7	9.317299022165025E-4	0.0	9.340401885038113E-4	0.011166360187801998	1.605751219342758E-6	0.014997146023375246	0.7034063096522002	0.19594028020029708	0.049462043389075554	0.01772268735350487	0.004847305293829675	0.0	0.0	5.904920579758002E-4	0.0
8	0.007116381009313113	0.0	3.704755089416537E-5	3.528204846288612E-4	0.0	8.800079068320821E-4	0.1623539114290332	0.5942134046139451	0.00612708660666921	0.17727358100075616	0.016087330835329098	6.419074080713115E-4	0.001358309777002341	0.02834811421783165	0.00521009715969349
9	0.02034299495780444	4.266792165326898E-5	0.004896178081226256	0.010931846412066458	0.0	0.002757479903696123	0.05178281941851037	0.007725054718892389	0.5616767757294907	0.33435951645792816	0.005131185112865287	0.0	6.596012595906131E-5	2.875211599073715E-4	0.0
10	0.11359939958010573	0.00210826430308263	0.0021541520785919896	0.001086832884708884	0.0	1.257983554431266E-4	0.0041778432157656585	0.05752217101785742	0.08603905870306505	0.5726903342975309	0.0036095934253193673	0.0013418909421754228	9.095977892217174E-4	0.1490464078626546	0.005588655544477603
11	0.0	0.0	8.61521135041021E-4	0.0	5.985893966646387E-4	0.06753618933056368	0.0027850206983948815	0.013218221934241084	0.0031987545988874507	0.008838283635124495	0.7462107970226175	0.14592535937166193	0.009094343083060301	0.0010251228406604044	7.077969530825488E-4
12	0.0	1.0059454397138509E-5	3.931360866835439E-4	1.4529623703397852E-5	7.318139883745344E-4	0.0012785772106448407	0.0	9.874579098965748E-5	0.0	8.805537969970475E-4	0.033231257812029354	0.9321348659571186	0.008177843362743839	0.020644637153518854	0.0024039797627990727
13	0.001517035249301676	2.4872613727445716E-4	6.884045595811629E-5	0.0	0.0	0.002518642888591534	0.0	0.001430190893958348	0.0	0.002789436692693834	0.014047377084926788	0.05006395054677091	0.8293328933320017	0.0	0.09798290671852275
14	7.606942630478364E-4	0.0	0.0017422149102377554	2.403120908155004E-4	1.2808377581466317E-5	5.291106401282618E-5	4.310351583096512E-5	0.0014692145890953467	2.6334368861006714E-6	0.025588828311340312	7.277699909014586E-5	0.00635796827650818	5.811577409540239E-8	0.9559367003720867	0.0077197756776927725
15	0.0015092850039687413	0.0	0.0	0.0	0.0	2.116425620512845E-5	0.0	9.4349902167309E-4	0.0	0.0025598862704459442	1.4334404642003595E-4	0.001843146829611818	0.015203088864783242	0.024318090534517275	0.9534584951723746
