15	10	E	-6219387.628994513	122
transitionprobs	11	4	3.7604302651146685E-4
transitionprobs	11	5	0.0
transitionprobs	11	6	1.1225806241407863E-4
transitionprobs	11	7	0.004140443646489477
transitionprobs	11	8	0.0035769486963048874
transitionprobs	11	9	0.04681482570631138
transitionprobs	11	10	0.010512161773684386
transitionprobs	11	11	0.5550221070144832
transitionprobs	11	12	0.3393106551921239
transitionprobs	11	13	0.003825189674142992
transitionprobs	11	14	0.015546906833550766
transitionprobs	11	15	0.0
transitionprobs	12	1	0.002280515729144668
transitionprobs	12	2	0.10928145826107773
transitionprobs	12	3	0.0059718990234177895
transitionprobs	12	4	0.15346351287217477
transitionprobs	12	5	9.083036253778032E-4
transitionprobs	12	6	0.0016043808611482236
transitionprobs	12	7	0.003759788964905034
transitionprobs	12	8	1.6674965549866866E-4
transitionprobs	12	9	0.004551764664802084
transitionprobs	12	10	0.06041140336607812
transitionprobs	12	11	0.08371592016231466
transitionprobs	12	12	0.5702913911046115
transitionprobs	12	13	0.0020286864713611108
transitionprobs	12	14	0.001564225238087974
transitionprobs	12	15	0.0
transitionprobs	13	1	0.06887336372432334
transitionprobs	13	2	0.1024888864239686
transitionprobs	13	3	2.0314183218874234E-4
transitionprobs	13	4	0.0395045105617147
transitionprobs	13	5	1.6091961175909158E-4
transitionprobs	13	6	0.0028624649091540198
transitionprobs	13	7	0.0014577841575722295
transitionprobs	13	8	0.004525805892283861
transitionprobs	13	9	2.5012717992951113E-6
transitionprobs	13	10	0.0
transitionprobs	13	11	0.004544982599368026
transitionprobs	13	12	0.009996371695819108
transitionprobs	13	13	0.5879416574221236
transitionprobs	13	14	0.141792410849914
transitionprobs	13	15	0.035645199048011174
transitionprobs	14	1	0.0
transitionprobs	14	2	0.012137045106137235
transitionprobs	14	3	0.0
transitionprobs	14	4	0.006694047652234449
transitionprobs	14	5	0.0
transitionprobs	14	6	5.46876434214617E-7
transitionprobs	14	7	1.607431344242492E-4
transitionprobs	14	8	0.009576503019717084
transitionprobs	14	9	0.018501268811489762
transitionprobs	14	10	5.975041903156662E-4
transitionprobs	14	11	0.020683857864432754
transitionprobs	14	12	0.00869585413374971
transitionprobs	14	13	0.2056982701317903
transitionprobs	14	14	0.6476138325892734
transitionprobs	14	15	0.06964052649000109
transitionprobs	15	1	0.0
transitionprobs	15	2	0.0
transitionprobs	15	3	0.0
transitionprobs	15	4	0.0
transitionprobs	15	5	0.0
transitionprobs	15	6	0.004949532865664319
transitionprobs	15	7	5.832436404287045E-4
transitionprobs	15	8	0.11426857547581196
transitionprobs	15	9	0.0
transitionprobs	15	10	4.3510746781640685E-5
transitionprobs	15	11	0.0
transitionprobs	15	12	0.0
transitionprobs	15	13	0.05172873015522006
transitionprobs	15	14	0.068208894448355
transitionprobs	15	15	0.7602175126677383
emissionprobs	1	0	H3K27ac	0	0.9988566883479293
emissionprobs	1	0	H3K27ac	1	0.0011433116520707222
emissionprobs	1	1	H3K27me3	0	0.6542439674359923
emissionprobs	1	1	H3K27me3	1	0.34575603256400766
emissionprobs	1	2	H3K36me3	0	0.9995144863428058
emissionprobs	1	2	H3K36me3	1	4.8551365719416077E-4
emissionprobs	1	3	H3K4me1	0	0.9972116524884218
emissionprobs	1	3	H3K4me1	1	0.002788347511578266
emissionprobs	1	4	H3K4me2	0	0.9984964052543093
emissionprobs	1	4	H3K4me2	1	0.0015035947456907381
emissionprobs	1	5	H3K4me3	0	0.9998408670742538
emissionprobs	1	5	H3K4me3	1	1.5913292574625158E-4
emissionprobs	1	6	H3K79me2	0	0.9999357384519753
emissionprobs	1	6	H3K79me2	1	6.426154802467647E-5
emissionprobs	1	7	H3K9ac	0	0.9996869654656944
emissionprobs	1	7	H3K9ac	1	3.130345343056429E-4
emissionprobs	1	8	H3K9me1	0	0.9977759300672032
emissionprobs	1	8	H3K9me1	1	0.002224069932796751
emissionprobs	1	9	H4K20me1	0	0.9966067082509423
emissionprobs	1	9	H4K20me1	1	0.003393291749057686
emissionprobs	2	0	H3K27ac	0	0.9990954132893822
emissionprobs	2	0	H3K27ac	1	9.045867106178095E-4
emissionprobs	2	1	H3K27me3	0	0.9959041546184243
emissionprobs	2	1	H3K27me3	1	0.004095845381575701
emissionprobs	2	2	H3K36me3	0	0.9991213910312038
emissionprobs	2	2	H3K36me3	1	8.786089687960986E-4
emissionprobs	2	3	H3K4me1	0	0.9997271874796001
emissionprobs	2	3	H3K4me1	1	2.7281252039986045E-4
emissionprobs	2	4	H3K4me2	0	0.9997890720881255
emissionprobs	2	4	H3K4me2	1	2.1092791187450046E-4
emissionprobs	2	5	H3K4me3	0	0.9999045813754557
emissionprobs	2	5	H3K4me3	1	9.54186245443899E-5
emissionprobs	2	6	H3K79me2	0	0.9999883188334947
emissionprobs	2	6	H3K79me2	1	1.1681166505279064E-5
emissionprobs	2	7	H3K9ac	0	0.9998679447989208
emissionprobs	2	7	H3K9ac	1	1.3205520107924354E-4
emissionprobs	2	8	H3K9me1	0	0.9990111785086405
emissionprobs	2	8	H3K9me1	1	9.88821491359523E-4
emissionprobs	2	9	H4K20me1	0	0.9992612754397346
emissionprobs	2	9	H4K20me1	1	7.387245602654398E-4
emissionprobs	3	0	H3K27ac	0	0.990921757302429
emissionprobs	3	0	H3K27ac	1	0.009078242697570942
emissionprobs	3	1	H3K27me3	0	0.9993624312726173
emissionprobs	3	1	H3K27me3	1	6.375687273827409E-4
emissionprobs	3	2	H3K36me3	0	0.6892381577404126
emissionprobs	3	2	H3K36me3	1	0.3107618422595873
emissionprobs	3	3	H3K4me1	0	0.9962078573909188
emissionprobs	3	3	H3K4me1	1	0.0037921426090811636
emissionprobs	3	4	H3K4me2	0	0.9996330681336515
emissionprobs	3	4	H3K4me2	1	3.669318663484985E-4
emissionprobs	3	5	H3K4me3	0	0.9997805124924432
emissionprobs	3	5	H3K4me3	1	2.1948750755687406E-4
emissionprobs	3	6	H3K79me2	0	0.9797432105975086
emissionprobs	3	6	H3K79me2	1	0.02025678940249132
emissionprobs	3	7	H3K9ac	0	0.9990869549466669
emissionprobs	3	7	H3K9ac	1	9.130450533330563E-4
emissionprobs	3	8	H3K9me1	0	0.9951944508536441
emissionprobs	3	8	H3K9me1	1	0.0048055491463558885
emissionprobs	3	9	H4K20me1	0	0.9928441225304606
emissionprobs	3	9	H4K20me1	1	0.007155877469539368
emissionprobs	4	0	H3K27ac	0	0.9957399452421778
emissionprobs	4	0	H3K27ac	1	0.0042600547578222235
emissionprobs	4	1	H3K27me3	0	0.999742713787132
emissionprobs	4	1	H3K27me3	1	2.57286212868011E-4
emissionprobs	4	2	H3K36me3	0	0.982506532484461
emissionprobs	4	2	H3K36me3	1	0.017493467515539072
emissionprobs	4	3	H3K4me1	0	0.999658528810914
emissionprobs	4	3	H3K4me1	1	3.4147118908590913E-4
emissionprobs	4	4	H3K4me2	0	0.9995508418696311
emissionprobs	4	4	H3K4me2	1	4.4915813036898965E-4
emissionprobs	4	5	H3K4me3	0	0.9998941624408179
emissionprobs	4	5	H3K4me3	1	1.058375591822077E-4
emissionprobs	4	6	H3K79me2	0	0.9872813330249165
emissionprobs	4	6	H3K79me2	1	0.012718666975083507
emissionprobs	4	7	H3K9ac	0	0.9995121281797333
emissionprobs	4	7	H3K9ac	1	4.878718202667118E-4
emissionprobs	4	8	H3K9me1	0	0.9957438413187212
emissionprobs	4	8	H3K9me1	1	0.0042561586812787395
emissionprobs	4	9	H4K20me1	0	0.9960764916790158
emissionprobs	4	9	H4K20me1	1	0.003923508320984258
emissionprobs	5	0	H3K27ac	0	0.9584574165777723
emissionprobs	5	0	H3K27ac	1	0.041542583422227754
emissionprobs	5	1	H3K27me3	0	0.9671535972190454
emissionprobs	5	1	H3K27me3	1	0.032846402780954735
emissionprobs	5	2	H3K36me3	0	0.35785088558309613
emissionprobs	5	2	H3K36me3	1	0.6421491144169038
emissionprobs	5	3	H3K4me1	0	0.9463109870548856
emissionprobs	5	3	H3K4me1	1	0.053689012945114356
emissionprobs	5	4	H3K4me2	0	0.9866188808267772
emissionprobs	5	4	H3K4me2	1	0.01338111917322279
emissionprobs	5	5	H3K4me3	0	0.9799341131066376
emissionprobs	5	5	H3K4me3	1	0.020065886893362493
emissionprobs	5	6	H3K79me2	0	0.38896265816597886
emissionprobs	5	6	H3K79me2	1	0.6110373418340211
emissionprobs	5	7	H3K9ac	0	0.9949140124862086
emissionprobs	5	7	H3K9ac	1	0.005085987513791414
emissionprobs	5	8	H3K9me1	0	0.96834674417763
emissionprobs	5	8	H3K9me1	1	0.031653255822369934
emissionprobs	5	9	H4K20me1	0	0.8957595931971917
emissionprobs	5	9	H4K20me1	1	0.10424040680280824
emissionprobs	6	0	H3K27ac	0	0.9926431703113907
emissionprobs	6	0	H3K27ac	1	0.007356829688609271
emissionprobs	6	1	H3K27me3	0	0.9999168678260022
emissionprobs	6	1	H3K27me3	1	8.3132173997754E-5
emissionprobs	6	2	H3K36me3	0	0.9608864259111198
emissionprobs	6	2	H3K36me3	1	0.039113574088880255
emissionprobs	6	3	H3K4me1	0	0.9829362050839497
emissionprobs	6	3	H3K4me1	1	0.017063794916050288
emissionprobs	6	4	H3K4me2	0	0.9975217397929066
emissionprobs	6	4	H3K4me2	1	0.0024782602070933936
emissionprobs	6	5	H3K4me3	0	0.9998113247593884
emissionprobs	6	5	H3K4me3	1	1.8867524061158783E-4
emissionprobs	6	6	H3K79me2	0	0.349490560634652
emissionprobs	6	6	H3K79me2	1	0.650509439365348
emissionprobs	6	7	H3K9ac	0	0.999222749632712
emissionprobs	6	7	H3K9ac	1	7.772503672879963E-4
emissionprobs	6	8	H3K9me1	0	0.9889135509990881
emissionprobs	6	8	H3K9me1	1	0.011086449000911979
emissionprobs	6	9	H4K20me1	0	0.946878499789658
emissionprobs	6	9	H4K20me1	1	0.05312150021034209
